<<<<<<< HEAD
Source Table,Source Column,Target Table,Target Column,UPDATE_RULE,DELETE_RULE,Is_Required
additional_lots_found,task_type_spot_check_id,task_type_spot_check,task_type_spot_check_id,RESTRICT,RESTRICT,NO
ai_alternatives,ai_recipe_id,ai_recipes,ai_recipe_id,NO ACTION,NO ACTION,NO
ai_ingredients,ai_recipe_id,ai_recipes,ai_recipe_id,NO ACTION,NO ACTION,NO
annie_exemptions,product_id,products,product_id,NO ACTION,NO ACTION,YES
authitemchild,child,authitem,name,CASCADE,CASCADE,NO
authitemchild,parent,authitem,name,CASCADE,CASCADE,NO
basket_designer_locks,basket_designer_locked_by,users,user_id,CASCADE,CASCADE,YES
basket_designs,communication_message_id_basket_launch,communication_messages,communication_messages_id,RESTRICT,RESTRICT,YES
basket_designs,communication_message_id_basket_launch_vegan,communication_messages,communication_messages_id,NO ACTION,NO ACTION,YES
blog_rating,blog_id,blog,blog_id,CASCADE,CASCADE,NO
bonus_comments,bonus_logging_id,bonus_logging,bonus_logging_id,RESTRICT,RESTRICT,NO
bonus_logging,created_by,users,user_id,RESTRICT,RESTRICT,NO
bonus_logging,bonus_reason_id,bonus_reasons,bonus_reason_id,RESTRICT,RESTRICT,NO
bonus_logging,task_id,task,task_id,RESTRICT,RESTRICT,YES
bonus_logging,transaction_id,transactions,transaction_id,RESTRICT,RESTRICT,YES
bonus_logging,reviewer_id,users,user_id,NO ACTION,NO ACTION,YES
bonus_logging,user_id,users,user_id,RESTRICT,RESTRICT,NO
bonus_multipliers,created_by,users,user_id,RESTRICT,RESTRICT,NO
bonus_multipliers,pay_period_id,pay_periods,pay_period_id,RESTRICT,RESTRICT,NO
bonus_multipliers,multiplier_reason_id,multiplier_reasons,multiplier_reason_id,RESTRICT,RESTRICT,NO
bonus_multipliers,user_id,users,user_id,RESTRICT,RESTRICT,NO
bonus_rollover,user_id,users,user_id,NO ACTION,NO ACTION,YES
cancelation_responses,user_id,users,user_id,CASCADE,CASCADE,NO
cancelation_responses,question_id,questions,id,CASCADE,CASCADE,NO
cancelation_responses,cancelation_id,cancelation,cancelation_id,CASCADE,CASCADE,YES
careersLang,career_id,careers,career_id,NO ACTION,NO ACTION,NO
cart_activity,cart_id,cart,cart_id,RESTRICT,RESTRICT,NO
cart_activity,task_id,task,task_id,RESTRICT,RESTRICT,YES
cart_asset_associations,asset_id,asset,asset_id,RESTRICT,RESTRICT,NO
cart_asset_associations,cart_id,cart,cart_id,RESTRICT,RESTRICT,NO
cart_parking_location_activity,cart_id,cart,cart_id,RESTRICT,RESTRICT,NO
