Table Name,Column Name,Column Type,Is Nullable,Column Key,Extra,Default_Value,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,Max_Length,NUMERIC_PRECISION,NUMERIC_SCALE,context_for_ai
Dim_Date,Calendar_Date,date,NO,PRI,,,,,,,,"The Calendar_Date column in Dim_Date serves as the primary key and contains individual calendar dates in a standard date format. This column is commonly used to join with fact tables for time-based analysis and filtering, and since it's non-nullable, it ensures every record in the date dimension has a valid date value."
Dim_Date,Calendar_Date_String_fr,varchar(35),NO,,,,,,35.0,,,"The Calendar_Date_String_fr column in Dim_Date stores French-formatted date strings, providing localized date representations for French-language reporting and display purposes. When writing SQL queries, this column can be used for filtering or displaying dates in French format, though for date calculations or comparisons, it's recommended to use the table's standard date columns instead."
Dim_Date,Calendar_Date_String_en,varchar(35),NO,,,,,,35.0,,,"The Calendar_Date_String_en column in Dim_Date stores the English language text representation of calendar dates (e.g., ""January 1, 2023""). This column is useful when you need to display dates in a human-readable format in reports or user interfaces, and can be used in SELECT statements when you want to show dates in a more natural language format rather than standard date formats."
Dim_Date,Calendar_Month,tinyint,NO,,,,,,,3.0,0.0,"The Calendar_Month column in Dim_Date represents the numeric month value (1-12) within a calendar year, where 1 corresponds to January and 12 to December. This non-nullable tinyint column is commonly used for monthly aggregations and filtering, allowing queries to group or filter data by specific months across different years."
Dim_Date,Calendar_Day,tinyint,NO,,,,,,,3.0,0.0,"The Calendar_Day column in Dim_Date represents the day of the month (1-31) for each calendar date record. This non-nullable tinyint column is commonly used in date-related queries to filter or group results by specific days of the month, and can be combined with other date dimension columns to create precise date-based conditions."
Dim_Date,Calendar_Year,smallint,NO,,,,,,,5.0,0.0,"The Calendar_Year column in Dim_Date represents the four-digit year (e.g., 2023) of each calendar date record and is commonly used for annual grouping and filtering operations. This non-nullable smallint column serves as a fundamental component for year-level time analysis and can be used in GROUP BY clauses or WHERE conditions when analyzing data across different years."
Dim_Date,Calendar_Quarter,tinyint,NO,,,,,,,3.0,0.0,"The Calendar_Quarter column in Dim_Date represents the quarter number (1-4) within a calendar year, where 1 indicates January-March, 2 indicates April-June, and so on. This non-nullable tinyint column is commonly used for quarterly aggregations and filtering, allowing queries to group or analyze data by three-month periods throughout the year."
Dim_Date,Day_Name_fr,varchar(9),NO,,,,,,9.0,,,"The Day_Name_fr column in the Dim_Date table stores the French name of each day of the week (e.g., ""Lundi"", ""Mardi"", etc.) as a character string up to 9 characters long. This column is useful for displaying day names in French-language reports or when filtering/grouping date-based data for French-speaking users, and since it's non-nullable, every date record will have a corresponding French day name."
Dim_Date,Day_Name_en,varchar(9),NO,,,,,,9.0,,,"The Day_Name_en column in the Dim_Date table stores the English name of each day of the week (e.g., 'Monday', 'Tuesday', etc.) as a text string. This column is commonly used for filtering or grouping data by specific days of the week, and since it's non-nullable, it ensures every date record has a corresponding day name for reliable day-based analysis."
Dim_Date,ISO_Day_of_Week,tinyint,NO,,,,,,,3.0,0.0,"The ISO_Day_of_Week column in Dim_Date represents the day of the week according to ISO standards, where Monday is 1 and Sunday is 7. This column is useful for filtering or grouping data by specific days of the week in SQL queries, particularly when working with international date standards or when Monday-based week calculations are required."
